defined_class	label	human_label	parent	location	location_label	xrefs	fma_xref	taxon	synonym	synonym_xrefs
VCCF:1000032	superior pharyngeal artery	superior pharyngeal artery (Human)	UBERON:0001637	UBERON:0000974	neck	http://www.ajnr.org/content/23/7/1246		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000033	pterygovaginal artery	pterygovaginal artery (Human)	UBERON:0001637	UBERON:0000033	head	http://www.ajnr.org/content/23/7/1246		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000034	facial artery	facial artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Facial_artery	FMA:49549	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000035	angular artery	angular artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Angular_artery	FMA:49583	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000036	ascending palatine artery	ascending palatine artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Ascending_palatine_artery	FMA:49555	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000037	glandular branches of facial artery	glandular branches of facial artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Glandular_branches_of_facial_artery	FMA:71675	http://purl.obolibrary.org/obo/NCBITaxon_9606	set of glandular branches of facial artery	FMA:71675
VCCF:1000038	inferior labial artery	inferior labial artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Inferior_labial_artery	FMA:49567	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000039	lateral nasal artery	lateral nasal artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Lateral_nasal_branch_of_facial_artery	FMA:49580	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000040	submental artery	submental artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Submental_artery	FMA:49561	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000041	superior labial artery	superior labial artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Superior_labial_artery	FMA:49570	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000042	tonsillar branch of facial artery	tonsillar branch of facial artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Tonsillar_branch_of_the_facial_artery	FMA:49558	http://purl.obolibrary.org/obo/NCBITaxon_9606	tonsillar artery	FMA:49558
VCCF:1000043	lingual artery	lingual artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Lingual_artery	FMA:49526	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000044	deep lingual artery	deep lingual artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Lingual_artery	FMA:49532	http://purl.obolibrary.org/obo/NCBITaxon_9606	third part of lingual artery	FMA:49532
VCCF:1000045	dorsal lingual artery	dorsal lingual artery (Human)	UBERON:0001637	UBERON:0001456	face	https://www.ncbi.nlm.nih.gov/books/NBK554513/	FMA:49546	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000046	sublingual artery	sublingual artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Lingual_artery	FMA:49543	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000047	maxillary artery	maxillary artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Maxillary_artery	FMA:49675	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000048	accessory meningeal artery	accessory meningeal artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Accessory_meningeal_artery	FMA:79467	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000049	alveolar artery	alveolar artery (Human)	UBERON:0001637	UBERON:0001456	face			http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000050	anterior deep temporal artery	anterior deep temporal artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Deep_temporal_arteries	FMA:49745	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000051	anterior tympanic artery	anterior tympanic artery (Human)	UBERON:0001637	UBERON:0001690	ear	wikipedia:Anterior_tympanic_artery	FMA:49692	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000052	artery of pterygoid canal	artery of pterygoid canal (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Artery_of_the_pterygoid_canal	FMA:85528	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000053	buccal artery	buccal artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Buccal_artery	FMA:49754	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000054	deep auricular artery	deep auricular artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Deep_auricular_artery	FMA:49689	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000055	descending palatine artery	descending palatine artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Descending_palatine_artery	FMA:49791	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000056	greater palatine artery	greater palatine artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Greater_palatine_artery	FMA:49795	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000057	lesser palatine artery	lesser palatine artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Lesser_palatine_arteries	FMA:49796	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000058	inferior alveolar artery	inferior alveolar artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Inferior_alveolar_artery	FMA:49695	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000059	incisor artery	incisor artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Inferior_alveolar_artery		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000060	mental artery	mental artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Inferior_alveolar_artery	FMA:49701	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000061	infraorbital artery	infraorbital artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Infraorbital_artery	FMA:49767	http://purl.obolibrary.org/obo/NCBITaxon_9606	infra-orbital artery	FMA:49767
VCCF:1000062	anterior superior alveolar artery	anterior superior alveolar artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Anterior_superior_alveolar_arteries	FMA:49771	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000063	masseteric artery	masseteric artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Masseteric_artery	FMA:49739	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000064	middle meningeal artery	middle meningeal artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Middle_meningeal_artery	FMA:49711	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000065	pharyngeal branch of maxillary artery	pharyngeal branch of maxillary artery (Human)	UBERON:0001637	UBERON:0000974	neck	https://www.kenhub.com/en/library/anatomy/maxillary-artery	FMA:0327481	http://purl.obolibrary.org/obo/NCBITaxon_9606	pharyngeal branch of the maxillary artery	FMA:0327481
VCCF:1000066	posterior deep temporal artery	posterior deep temporal artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Deep_temporal_arteries	FMA:49746	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000067	posterior superior alveolar artery	posterior superior alveolar artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Posterior_superior_alveolar_artery	FMA:49757	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000068	pterygoid branches of maxillary artery	pterygoid branches of maxillary artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Pterygoid_branches_of_maxillary_artery	FMA:49751	http://purl.obolibrary.org/obo/NCBITaxon_9606	pterygoid branch of maxillary artery	FMA:49751
VCCF:1000069	sphenopalatine artery	sphenopalatine artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Sphenopalatine_artery	FMA:49804	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000070	posterior lateral nasal branch of sphenopalatine artery	posterior lateral nasal branch of sphenopalatine artery (Human)	UBERON:0001637	UBERON:0001456	face	https://www.barnesandnoble.com/w/atlas-of-human-anatomy-frank-h-netter/1128555546		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000071	posterior septal branch of sphenopalatine artery	posterior septal branch of sphenopalatine artery (Human)	UBERON:0001637	UBERON:0001456	face	https://www.barnesandnoble.com/w/atlas-of-human-anatomy-frank-h-netter/1128555546	FMA:49809	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000072	occipital artery	occipital artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Occipital_artery	FMA:49586	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000073	auricular branch of occipital artery	auricular branch of occipital artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Auricular_branch_of_occipital_artery	FMA:49602	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000074	descending branch of occipital artery	descending branch of occipital artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Descending_branch_of_occipital_artery	FMA:49608	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000075	mastoid branch of occipital artery	mastoid branch of occipital artery (Human)	UBERON:0001637	UBERON:0000033	head	https://www.kenhub.com/en/library/anatomy/occipital-artery	FMA:49599	http://purl.obolibrary.org/obo/NCBITaxon_9606	mastoid artery	FMA:49599
VCCF:1000076	meningeal branch of occipital artery	meningeal branch of occipital artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Meningeal_branch_of_occipital_artery	FMA:49618	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000077	muscular branch of occipital artery	muscular branch of occipital artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Occipital_artery	FMA:49621	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000078	sternocleidomastoid artery	sternocleidomastoid artery (Human)	UBERON:0001637	UBERON:0000974	neck	wikipedia:Sternocleidomastoid_branches_of_occipital_artery	FMA:49477	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000079	stylomastoid branch of occipital artery	stylomastoid branch of occipital artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Occipital_artery		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000080	posterior auricular artery	posterior auricular artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Posterior_auricular_artery	FMA:49624	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000081	auricular branch of posterior auricular artery	auricular branch of posterior auricular artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Auricular_branch_of_posterior_auricular_artery	FMA:49641	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000082	occipital branch of posterior auricular artery	occipital branch of posterior auricular artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Occipital_branch_of_posterior_auricular_artery	FMA:49644	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000083	parotid branch of posterior auricular artery	parotid branch of posterior auricular artery (Human)	UBERON:0001637	UBERON:0000033	head	https://www.kenhub.com/en/library/anatomy/posterior-auricular-artery	FMA:49647	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000084	posterior tympanic artery	posterior tympanic artery (Human)	UBERON:0001637	UBERON:0001690	ear	https://www.kenhub.com/en/library/anatomy/posterior-auricular-artery	FMA:49631	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000085	stapedial artery	stapedial artery (Human)	UBERON:0001637	UBERON:0001690	ear	wikipedia:Stapedial_branch_of_posterior_auricular_artery	FMA:79390	http://purl.obolibrary.org/obo/NCBITaxon_9606	stapedial branch of posterior auricular artery	FMA:79390
VCCF:1000086	stylomastoid artery	stylomastoid artery (Human)	UBERON:0001637	UBERON:0001690	ear	wikipedia:Stylomastoid_artery	FMA:49628	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000087	superficial temporal artery	superficial temporal artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Superficial_temporal_artery	FMA:49650	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000088	anterior auricular branch of superficial temporal artery	anterior auricular branch of superficial temporal artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Anterior_auricular_branches	FMA:49660	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000089	frontal branch of superficial temporal artery	frontal branch of superficial temporal artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Superficial_temporal_artery	FMA:49669	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000090	middle temporal artery	middle temporal artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Superficial_temporal_artery	FMA:49666	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000091	posterior temporal artery	posterior temporal artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Superficial_temporal_artery	FMA:50458	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000092	transverse facial artery	transverse facial artery (Human)	UBERON:0001637	UBERON:0001456	face	wikipedia:Transverse_facial_artery	FMA:49657	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000093	zygomatico-orbital artery	zygomatico-orbital artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Zygomatico-orbital_artery	FMA:49663	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000094	superior thyroid artery	superior thyroid artery (Human)	UBERON:0001637	UBERON:0002046	thyroid gland	wikipedia:Superior_thyroid_artery	FMA:49472	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000095	cricothyroid artery	cricothyroid artery (Human)	UBERON:0001637	UBERON:0000974	neck	wikipedia:Superior_thyroid_artery	FMA:49483	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000096	infrahyoid artery	infrahyoid artery (Human)	UBERON:0001637	UBERON:0000974	neck	wikipedia:Superior_thyroid_artery	FMA:49474	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000097	sternocleidomastoid branch of superior thyroid artery	sternocleidomastoid branch of superior thyroid artery (Human)	UBERON:0001637	UBERON:0002046	thyroid gland	wikipedia:Superior_thyroid_artery	FMA:49477	http://purl.obolibrary.org/obo/NCBITaxon_9606	sternocleidomastoid artery	FMA:49477
VCCF:1000098	superior laryngeal artery	superior laryngeal artery (Human)	UBERON:0001637	UBERON:0000974	neck	wikipedia:Superior_thyroid_artery	FMA:49480	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000099	internal carotid artery	internal carotid artery (Human)	UBERON:0001637	UBERON:0000974	neck	wikipedia:Internal_carotid_artery	FMA:3947	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000100	anterior cerebral artery	anterior cerebral artery (Human)	UBERON:0001637	UBERON:0000955	brain	wikipedia:Anterior_cerebral_artery	FMA:50028	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000101	anterior communicating artery	anterior communicating artery (Human)	UBERON:0001637	UBERON:0000955	brain	wikipedia:Anterior_communicating_artery	FMA:50169	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000102	anterior internal frontal artery	anterior internal frontal artery (Human)	UBERON:0001637	UBERON:0000955	brain	DOI:10.3171/jns.1978.49.2.0204		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000103	callosomarginal artery	callosomarginal artery (Human)	UBERON:0001637	UBERON:0000955	brain	wikipedia:Anterior_cerebral_artery	FMA:50330	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000104	frontopolar artery	frontopolar artery (Human)	UBERON:0001637	UBERON:0000955	brain	wikipedia:Anterior_cerebral_artery	FMA:50329	http://purl.obolibrary.org/obo/NCBITaxon_9606	polar frontal artery	FMA:50329
VCCF:1000105	inferior parietal artery	inferior parietal artery (Human)	UBERON:0001637	UBERON:0000955	brain	DOI:10.3171/jns.1978.49.2.0204		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000106	medial lenticulostriate artery	medial lenticulostriate artery (Human)	UBERON:0001637	UBERON:0000955	brain	wikipedia:Anterior_cerebral_artery		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000107	middle internal frontal artery	middle internal frontal artery (Human)	UBERON:0001637	UBERON:0000955	brain	DOI:10.3171/jns.1978.49.2.0204		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000108	orbitofrontal branch of anterior cerebral artery	orbitofrontal branch of anterior cerebral artery (Human)	UBERON:0001637	UBERON:0000955	brain	http://radiopaedia.org/articles/orbitofrontal-artery		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000109	paracentral artery	paracentral artery (Human)	UBERON:0001637	UBERON:0000955	brain	DOI:10.3171/jns.1978.49.2.0204		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000110	pericallosal artery	pericallosal artery (Human)	UBERON:0001637	UBERON:0000955	brain	wikipedia:Anterior_cerebral_artery	FMA:50337	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000111	posterior internal frontal artery	posterior internal frontal artery (Human)	UBERON:0001637	UBERON:0000955	brain	DOI:10.3171/jns.1978.49.2.0204		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000112	recurrent artery of Heubner	recurrent artery of Heubner (Human)	UBERON:0001637	UBERON:0000955	brain	wikipedia:Recurrent_artery_of_Heubner	FMA:50327	http://purl.obolibrary.org/obo/NCBITaxon_9606	distal medial striate artery	FMA:50327
VCCF:1000113	superior parietal artery	superior parietal artery (Human)	UBERON:0001637	UBERON:0000955	brain	DOI:10.3171/jns.1978.49.2.0204		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000114	anterior choroidal artery	anterior choroidal artery (Human)	UBERON:0001637	UBERON:0000955	brain	wikipedia:Anterior_choroidal_artery	FMA:50087	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000115	caroticotympanic artery	caroticotympanic artery (Human)	UBERON:0001637	UBERON:0001690	ear	wikipedia:Caroticotympanic_arteries	FMA:49828	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000116	cavernous branch of internal carotid artery	cavernous branch of internal carotid artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Internal_carotid_artery	FMA:49817	http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000117	meningohypophyseal artery	meningohypophyseal artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Meningohypophyseal_artery		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000118	dorsal meningeal artery	dorsal meningeal artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Meningohypophyseal_artery		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000119	tentorial artery	tentorial artery (Human)	UBERON:0001637	UBERON:0000033	head	wikipedia:Meningohypophyseal_artery		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000120	dural artery	dural artery (Human)	UBERON:0001637	UBERON:0000033	head	DOI:10.1016/j.wneu.2018.12.071		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000121	inferior hypophyseal artery	inferior hypophyseal artery (Human)	UBERON:0001637	UBERON:0000007	pituitary gland	https://radiopaedia.org/articles/inferior-hypophyseal-artery	FMA:49846	http://purl.obolibrary.org/obo/NCBITaxon_9606	inferior hypophysial artery	FMA:49846
VCCF:1000122	capillary plexus of posterior pituitary gland	capillary plexus of posterior pituitary gland (Human)	UBERON:0001982	UBERON:0000007	pituitary gland	https://basicmedicalkey.com/endocrine-system-3/		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000123	short portal vessel of pituitary gland	short portal vessel of pituitary gland (Human)	UBERON:0001638	UBERON:0000007	pituitary gland	https://basicmedicalkey.com/endocrine-system-3/	FMA:0327576	http://purl.obolibrary.org/obo/NCBITaxon_9606	hypophysial short portal vein	FMA:0327576
VCCF:1000124	secondary capillary plexus of anterior pituitary gland	secondary capillary plexus of anterior pituitary gland (Human)	UBERON:0001982	UBERON:0000007	pituitary gland	https://basicmedicalkey.com/endocrine-system-3/		http://purl.obolibrary.org/obo/NCBITaxon_9606		
VCCF:1000125	middle cerebral artery	middle cerebral artery (Human)	UBERON:0001637	UBERON:0000955	brain	wikipedia:Middle_cerebral_artery	FMA:50079	http://purl.obolibrary.org/obo/NCBITaxon_9606		
